obstime,tempr,ap,ws,wd,rh
11/18/2015 00:00:00,-7.77,978.2,26.96,88.33,42.7
11/18/2015 01:00:00,-6.78,977.28,25.39,86.67,41.22
11/18/2015 02:00:00,-5.34,976.53,23.87,81.4,38.67
11/18/2015 03:00:00,-4.57,975.92,22.6,76.9,38.83
11/18/2015 04:00:00,-3.79,974.87,20.52,74.88,42.1
11/18/2015 05:00:00,-3.27,973.89,21.9,72.05,44.68
11/18/2015 06:00:00,-2.46,972.89,21.39,67.9,45.83
11/18/2015 07:00:00,-1.67,971.92,20.04,65.33,44.52
11/18/2015 08:00:00,-1.43,971.09,19.62,64.55,45.02
11/18/2015 09:00:00,-1.65,970.07,20.23,62.73,47.17
11/18/2015 10:00:00,-1.62,969.25,18.1,55.37,47.95
11/18/2015 11:00:00,-1.93,968.54,21.86,69.42,48.72
11/18/2015 12:00:00,-2.48,968.16,24.79,68.95,54.9
11/18/2015 13:00:00,-2.96,967.69,24.94,78.35,60.27
11/18/2015 14:00:00,-3.09,967.62,23.98,79.4,62.15
11/18/2015 15:00:00,-3.9,967.35,28.29,86.32,70.12
11/18/2015 16:00:00,-3.76,967.25,28.05,89.12,64.43
11/18/2015 17:00:00,-3.7,967.48,24.35,87.72,57
11/18/2015 18:00:00,-3.8,967.71,24.43,85.02,54.45
11/18/2015 19:00:00,-3.9,968.02,21.38,85.3,52.25
